customer_id,gender,age_group,loyalty_level
1,Male,36-50,SILVER
2,Male,36-50,GOLD
3,Female,18-25,BRONZE
4,Male,36-50,GOLD
5,Male,36-50,SILVER
6,Female,36-50,BRONZE
7,Male,26-35,GOLD
8,Male,50+,SILVER
9,Male,18-25,BRONZE
10,Female,18-25,BRONZE
11,Male,26-35,SILVER
12,Male,26-35,BRONZE
13,Male,50+,GOLD
14,Male,36-50,BRONZE
15,Female,50+,SILVER
16,Female,18-25,SILVER
17,Male,18-25,GOLD
18,Female,26-35,BRONZE
19,Female,36-50,SILVER
20,Male,36-50,BRONZE
21,Male,36-50,BRONZE
22,Female,18-25,SILVER
23,Female,50+,SILVER
24,Male,26-35,SILVER
25,Male,18-25,SILVER
26,Female,36-50,BRONZE
27,Female,18-25,GOLD
28,Male,36-50,BRONZE
29,Female,18-25,GOLD
30,Female,26-35,BRONZE
31,Female,18-25,SILVER
32,Female,50+,GOLD
33,Male,50+,SILVER
34,Male,26-35,BRONZE
35,Male,50+,GOLD
36,Female,36-50,GOLD
37,Female,26-35,SILVER
38,Male,26-35,BRONZE
39,Female,50+,GOLD
40,Male,50+,GOLD
41,Male,36-50,BRONZE
42,Female,26-35,SILVER
43,Female,50+,BRONZE
44,Female,26-35,GOLD
45,Male,18-25,BRONZE
46,Female,26-35,GOLD
47,Female,26-35,BRONZE
48,Female,36-50,GOLD
49,Female,18-25,GOLD
50,Male,36-50,SILVER
51,Male,36-50,SILVER
52,Male,18-25,SILVER
53,Male,26-35,GOLD
54,Male,26-35,BRONZE
55,Male,26-35,GOLD
56,Female,18-25,BRONZE
57,Male,26-35,SILVER
58,Female,18-25,SILVER
59,Female,18-25,SILVER
60,Female,26-35,BRONZE
61,Male,50+,BRONZE
62,Male,26-35,GOLD
63,Male,50+,SILVER
64,Male,26-35,SILVER
65,Male,18-25,BRONZE
66,Female,36-50,SILVER
67,Female,26-35,BRONZE
68,Male,18-25,BRONZE
69,Male,18-25,SILVER
70,Male,50+,GOLD
71,Female,36-50,SILVER
72,Female,26-35,SILVER
73,Male,36-50,BRONZE
74,Female,50+,SILVER
75,Female,26-35,GOLD
76,Female,36-50,GOLD
77,Female,36-50,BRONZE
78,Male,36-50,SILVER
79,Female,26-35,GOLD
80,Male,18-25,GOLD
81,Female,50+,BRONZE
82,Male,26-35,BRONZE
83,Male,36-50,BRONZE
84,Male,50+,BRONZE
85,Male,18-25,GOLD
86,Male,18-25,BRONZE
87,Female,36-50,SILVER
88,Male,50+,GOLD
89,Male,36-50,SILVER
90,Male,50+,SILVER
91,Male,50+,BRONZE
92,Male,18-25,SILVER
93,Male,50+,GOLD
94,Female,18-25,GOLD
95,Female,50+,SILVER
96,Female,18-25,GOLD
97,Female,18-25,SILVER
98,Female,36-50,GOLD
99,Male,50+,SILVER
100,Male,26-35,BRONZE
101,Male,26-35,SILVER
102,Male,50+,BRONZE
103,Female,50+,BRONZE
104,Female,50+,GOLD
105,Female,36-50,BRONZE
106,Male,26-35,BRONZE
107,Female,50+,GOLD
108,Male,50+,BRONZE
109,Male,50+,SILVER
110,Female,26-35,BRONZE
111,Male,50+,BRONZE
112,Female,26-35,SILVER
113,Male,26-35,GOLD
114,Female,50+,GOLD
115,Female,26-35,BRONZE
116,Male,50+,BRONZE
117,Female,18-25,GOLD
118,Female,26-35,SILVER
119,Male,36-50,SILVER
120,Female,18-25,GOLD
121,Female,50+,SILVER
122,Male,50+,GOLD
123,Male,26-35,BRONZE
124,Female,50+,SILVER
125,Male,26-35,SILVER
126,Female,18-25,GOLD
127,Female,50+,BRONZE
128,Female,26-35,GOLD
129,Female,26-35,SILVER
130,Male,50+,BRONZE
131,Female,50+,BRONZE
132,Male,36-50,SILVER
133,Female,50+,GOLD
134,Female,26-35,GOLD
135,Male,36-50,GOLD
136,Female,26-35,GOLD
137,Male,18-25,SILVER
138,Male,26-35,SILVER
139,Female,50+,SILVER
140,Male,50+,BRONZE
141,Female,26-35,SILVER
142,Male,18-25,GOLD
143,Male,36-50,BRONZE
144,Male,36-50,GOLD
145,Male,18-25,SILVER
146,Male,50+,SILVER
147,Male,26-35,BRONZE
148,Male,26-35,SILVER
149,Female,26-35,SILVER
150,Male,26-35,GOLD
151,Male,18-25,BRONZE
152,Male,26-35,BRONZE
153,Female,36-50,GOLD
154,Female,26-35,BRONZE
155,Female,18-25,BRONZE
156,Female,26-35,SILVER
157,Female,18-25,BRONZE
158,Female,50+,GOLD
159,Female,18-25,GOLD
160,Male,36-50,BRONZE
161,Female,36-50,BRONZE
162,Male,26-35,GOLD
163,Female,50+,GOLD
164,Male,36-50,GOLD
165,Male,18-25,BRONZE
166,Female,26-35,GOLD
167,Female,18-25,BRONZE
168,Male,26-35,GOLD
169,Male,50+,GOLD
170,Female,26-35,BRONZE
171,Female,36-50,BRONZE
172,Female,36-50,BRONZE
173,Female,18-25,GOLD
174,Female,26-35,BRONZE
175,Female,26-35,BRONZE
176,Female,18-25,GOLD
177,Female,36-50,SILVER
178,Male,36-50,BRONZE
179,Male,18-25,SILVER
180,Female,26-35,GOLD
181,Male,18-25,BRONZE
182,Male,50+,GOLD
183,Female,18-25,SILVER
184,Female,18-25,SILVER
185,Female,36-50,SILVER
186,Male,26-35,GOLD
187,Male,50+,BRONZE
188,Male,18-25,SILVER
189,Female,50+,SILVER
190,Female,36-50,GOLD
191,Male,26-35,GOLD
192,Male,18-25,BRONZE
193,Male,18-25,GOLD
194,Male,36-50,GOLD
195,Female,26-35,GOLD
196,Male,18-25,SILVER
197,Male,18-25,SILVER
198,Male,50+,BRONZE
199,Male,50+,GOLD
200,Male,18-25,BRONZE
