date,date_key,year,quarter,month,day,weekday,is_weekend
2023-01-01,20230101,2023,1,1,1,6,True
2023-01-02,20230102,2023,1,1,2,0,False
2023-01-03,20230103,2023,1,1,3,1,False
2023-01-04,20230104,2023,1,1,4,2,False
2023-01-05,20230105,2023,1,1,5,3,False
2023-01-06,20230106,2023,1,1,6,4,False
2023-01-07,20230107,2023,1,1,7,5,True
2023-01-08,20230108,2023,1,1,8,6,True
2023-01-09,20230109,2023,1,1,9,0,False
2023-01-10,20230110,2023,1,1,10,1,False
2023-01-11,20230111,2023,1,1,11,2,False
2023-01-12,20230112,2023,1,1,12,3,False
2023-01-13,20230113,2023,1,1,13,4,False
2023-01-14,20230114,2023,1,1,14,5,True
2023-01-15,20230115,2023,1,1,15,6,True
2023-01-16,20230116,2023,1,1,16,0,False
2023-01-17,20230117,2023,1,1,17,1,False
2023-01-18,20230118,2023,1,1,18,2,False
2023-01-19,20230119,2023,1,1,19,3,False
2023-01-20,20230120,2023,1,1,20,4,False
2023-01-21,20230121,2023,1,1,21,5,True
2023-01-22,20230122,2023,1,1,22,6,True
2023-01-23,20230123,2023,1,1,23,0,False
2023-01-24,20230124,2023,1,1,24,1,False
2023-01-25,20230125,2023,1,1,25,2,False
2023-01-26,20230126,2023,1,1,26,3,False
2023-01-27,20230127,2023,1,1,27,4,False
2023-01-28,20230128,2023,1,1,28,5,True
2023-01-29,20230129,2023,1,1,29,6,True
2023-01-30,20230130,2023,1,1,30,0,False
2023-01-31,20230131,2023,1,1,31,1,False
2023-02-01,20230201,2023,1,2,1,2,False
2023-02-02,20230202,2023,1,2,2,3,False
2023-02-03,20230203,2023,1,2,3,4,False
2023-02-04,20230204,2023,1,2,4,5,True
2023-02-05,20230205,2023,1,2,5,6,True
2023-02-06,20230206,2023,1,2,6,0,False
2023-02-07,20230207,2023,1,2,7,1,False
2023-02-08,20230208,2023,1,2,8,2,False
2023-02-09,20230209,2023,1,2,9,3,False
2023-02-10,20230210,2023,1,2,10,4,False
2023-02-11,20230211,2023,1,2,11,5,True
2023-02-12,20230212,2023,1,2,12,6,True
2023-02-13,20230213,2023,1,2,13,0,False
2023-02-14,20230214,2023,1,2,14,1,False
2023-02-15,20230215,2023,1,2,15,2,False
2023-02-16,20230216,2023,1,2,16,3,False
2023-02-17,20230217,2023,1,2,17,4,False
2023-02-18,20230218,2023,1,2,18,5,True
2023-02-19,20230219,2023,1,2,19,6,True
2023-02-20,20230220,2023,1,2,20,0,False
2023-02-21,20230221,2023,1,2,21,1,False
2023-02-22,20230222,2023,1,2,22,2,False
2023-02-23,20230223,2023,1,2,23,3,False
2023-02-24,20230224,2023,1,2,24,4,False
2023-02-25,20230225,2023,1,2,25,5,True
2023-02-26,20230226,2023,1,2,26,6,True
2023-02-27,20230227,2023,1,2,27,0,False
2023-02-28,20230228,2023,1,2,28,1,False
2023-03-01,20230301,2023,1,3,1,2,False
2023-03-02,20230302,2023,1,3,2,3,False
2023-03-03,20230303,2023,1,3,3,4,False
2023-03-04,20230304,2023,1,3,4,5,True
2023-03-05,20230305,2023,1,3,5,6,True
2023-03-06,20230306,2023,1,3,6,0,False
2023-03-07,20230307,2023,1,3,7,1,False
2023-03-08,20230308,2023,1,3,8,2,False
2023-03-09,20230309,2023,1,3,9,3,False
2023-03-10,20230310,2023,1,3,10,4,False
2023-03-11,20230311,2023,1,3,11,5,True
2023-03-12,20230312,2023,1,3,12,6,True
2023-03-13,20230313,2023,1,3,13,0,False
2023-03-14,20230314,2023,1,3,14,1,False
2023-03-15,20230315,2023,1,3,15,2,False
2023-03-16,20230316,2023,1,3,16,3,False
2023-03-17,20230317,2023,1,3,17,4,False
2023-03-18,20230318,2023,1,3,18,5,True
2023-03-19,20230319,2023,1,3,19,6,True
2023-03-20,20230320,2023,1,3,20,0,False
2023-03-21,20230321,2023,1,3,21,1,False
2023-03-22,20230322,2023,1,3,22,2,False
2023-03-23,20230323,2023,1,3,23,3,False
2023-03-24,20230324,2023,1,3,24,4,False
2023-03-25,20230325,2023,1,3,25,5,True
2023-03-26,20230326,2023,1,3,26,6,True
2023-03-27,20230327,2023,1,3,27,0,False
2023-03-28,20230328,2023,1,3,28,1,False
2023-03-29,20230329,2023,1,3,29,2,False
2023-03-30,20230330,2023,1,3,30,3,False
2023-03-31,20230331,2023,1,3,31,4,False
2023-04-01,20230401,2023,2,4,1,5,True
2023-04-02,20230402,2023,2,4,2,6,True
2023-04-03,20230403,2023,2,4,3,0,False
2023-04-04,20230404,2023,2,4,4,1,False
2023-04-05,20230405,2023,2,4,5,2,False
2023-04-06,20230406,2023,2,4,6,3,False
2023-04-07,20230407,2023,2,4,7,4,False
2023-04-08,20230408,2023,2,4,8,5,True
2023-04-09,20230409,2023,2,4,9,6,True
2023-04-10,20230410,2023,2,4,10,0,False
2023-04-11,20230411,2023,2,4,11,1,False
2023-04-12,20230412,2023,2,4,12,2,False
2023-04-13,20230413,2023,2,4,13,3,False
2023-04-14,20230414,2023,2,4,14,4,False
2023-04-15,20230415,2023,2,4,15,5,True
2023-04-16,20230416,2023,2,4,16,6,True
2023-04-17,20230417,2023,2,4,17,0,False
2023-04-18,20230418,2023,2,4,18,1,False
2023-04-19,20230419,2023,2,4,19,2,False
2023-04-20,20230420,2023,2,4,20,3,False
2023-04-21,20230421,2023,2,4,21,4,False
2023-04-22,20230422,2023,2,4,22,5,True
2023-04-23,20230423,2023,2,4,23,6,True
2023-04-24,20230424,2023,2,4,24,0,False
2023-04-25,20230425,2023,2,4,25,1,False
2023-04-26,20230426,2023,2,4,26,2,False
2023-04-27,20230427,2023,2,4,27,3,False
2023-04-28,20230428,2023,2,4,28,4,False
2023-04-29,20230429,2023,2,4,29,5,True
2023-04-30,20230430,2023,2,4,30,6,True
