sale_id,date_key,outlet_id,item_id,customer_id,quantity,revenue,avg_rating,discount_pct
1,20230101,4,29,160,5,1087.0,3.34,22.01
2,20230101,9,18,155,7,2177.07,2.46,1.44
3,20230101,2,1,42,8,212.16,1.92,6.32
4,20230101,1,9,199,6,2006.88,1.91,13.35
5,20230101,6,17,185,4,1320.52,2.76,0.41
6,20230101,9,15,189,2,814.16,1.75,9.78
7,20230101,4,4,158,7,2994.95,2.95,19.49
8,20230101,6,25,152,3,524.43,2.88,23.6
9,20230101,10,5,59,9,4273.92,3.53,1.93
10,20230101,6,29,80,9,1956.6,1.56,20.47
11,20230101,10,29,46,5,1087.0,2.8,3.91
12,20230101,10,17,149,6,1980.78,2.82,14.68
13,20230101,9,18,86,4,1244.04,3.55,25.76
14,20230101,5,3,111,9,3632.94,1.11,10.28
15,20230101,1,9,30,9,3010.32,1.78,26.91
16,20230101,2,8,9,9,182.16,4.34,13.19
17,20230101,9,30,26,1,364.18,2.46,15.16
18,20230101,4,29,95,7,1521.8,3.71,13.83
19,20230101,5,5,144,3,1424.64,1.22,1.94
20,20230101,3,5,115,4,1899.52,2.07,5.35
21,20230101,5,20,37,9,3571.65,4.14,19.38
22,20230101,4,7,21,4,48.72,3.11,9.16
23,20230101,10,17,25,1,330.13,3.91,15.82
24,20230101,5,3,72,1,403.66,3.03,28.16
25,20230102,5,13,159,8,1171.2,4.24,26.07
26,20230102,8,30,107,3,1092.54,2.73,10.06
27,20230102,10,6,147,9,1378.26,3.73,2.52
28,20230102,3,18,7,9,2799.09,2.75,14.7
29,20230102,9,20,161,5,1984.25,1.35,3.84
30,20230102,5,24,23,1,424.0,2.73,16.69
31,20230102,9,17,12,3,990.39,4.03,14.33
32,20230102,9,24,49,9,3816.0,3.6,10.7
33,20230102,3,24,36,8,3392.0,2.88,11.33
34,20230102,8,5,193,6,2849.28,4.64,12.1
35,20230102,7,28,69,2,700.52,4.65,7.52
36,20230102,7,10,62,1,83.36,1.67,7.32
37,20230102,5,24,157,5,2120.0,3.08,22.94
38,20230102,6,3,28,3,1210.98,4.69,2.26
39,20230102,1,1,119,4,106.08,2.91,3.71
40,20230102,3,30,193,3,1092.54,4.4,15.27
41,20230102,1,11,89,8,3153.04,2.53,25.0
42,20230102,8,29,126,3,652.2,3.38,25.98
43,20230102,10,10,129,4,333.44,4.36,18.01
44,20230102,5,25,165,5,874.05,2.17,11.41
45,20230102,5,14,114,7,618.24,2.18,11.68
46,20230102,3,27,51,1,113.46,4.53,3.85
47,20230102,7,17,43,2,660.26,2.76,14.25
48,20230102,7,26,174,8,1818.56,1.06,12.7
49,20230102,9,1,10,3,79.56,1.47,18.66
50,20230102,2,10,121,2,166.72,2.15,16.98
51,20230102,4,23,69,7,1981.56,4.87,0.4
52,20230102,5,13,125,7,1024.8,4.73,20.84
53,20230102,9,1,23,9,238.68,1.66,24.59
54,20230102,5,17,83,1,330.13,1.31,24.8
55,20230102,1,29,42,5,1087.0,2.81,27.28
56,20230102,8,1,174,9,238.68,1.14,18.19
57,20230102,7,27,30,8,907.68,2.74,0.23
58,20230102,6,15,147,9,3663.72,3.42,16.69
59,20230102,1,19,33,5,454.75,2.99,26.88
60,20230102,3,23,76,3,849.24,1.38,16.85
61,20230102,2,11,42,6,2364.78,3.94,1.22
62,20230102,4,30,19,4,1456.72,2.35,2.97
63,20230102,5,9,13,3,1003.44,2.28,28.84
64,20230102,5,1,193,1,26.52,3.26,12.33
65,20230102,4,24,155,5,2120.0,4.55,0.27
66,20230102,2,11,100,4,1576.52,3.45,5.04
67,20230102,7,11,79,3,1182.39,3.59,5.29
68,20230102,6,15,75,4,1628.32,2.57,27.68
69,20230102,10,6,133,9,1378.26,2.62,19.62
70,20230102,3,8,83,6,121.44,1.42,25.4
71,20230102,7,25,10,8,1398.48,4.79,11.94
72,20230102,3,24,185,5,2120.0,3.1,12.73
73,20230103,1,2,191,3,824.67,1.16,16.15
