item_id,name,category,subcategory,price,unit
1,Item_1,Snacks,TypeC,26.52,litre
2,Item_2,Produce,TypeA,274.89,kg
3,Item_3,Snacks,TypeA,403.66,piece
4,Item_4,Snacks,TypeB,427.85,kg
5,Item_5,Dairy,TypeB,474.88,piece
6,Item_6,Beverages,TypeB,153.14,litre
7,Item_7,Dairy,TypeC,12.18,piece
8,Item_8,Produce,TypeC,20.24,piece
9,Item_9,Produce,TypeC,334.48,litre
10,Item_10,Beverages,TypeA,83.36,litre
11,Item_11,Produce,TypeA,394.13,kg
12,Item_12,Dairy,TypeB,215.81,piece
13,Item_13,Dairy,TypeC,146.4,kg
14,Item_14,Produce,TypeA,88.32,litre
15,Item_15,Dairy,TypeA,407.08,litre
16,Item_16,Dairy,TypeA,56.31,kg
17,Item_17,Beverages,TypeC,330.13,piece
18,Item_18,Produce,TypeB,311.01,litre
19,Item_19,Dairy,TypeB,90.95,litre
20,Item_20,Snacks,TypeB,396.85,kg
21,Item_21,Dairy,TypeC,182.66,kg
22,Item_22,Snacks,TypeA,141.34,kg
23,Item_23,Dairy,TypeB,283.08,litre
24,Item_24,Dairy,TypeA,424.0,litre
25,Item_25,Snacks,TypeB,174.81,piece
26,Item_26,Snacks,TypeB,227.32,kg
27,Item_27,Beverages,TypeA,113.46,piece
28,Item_28,Beverages,TypeC,350.26,kg
29,Item_29,Beverages,TypeB,217.4,piece
30,Item_30,Dairy,TypeA,364.18,piece
