sale_id,date,year,month,day,weekday,outlet,tier,category,subcategory,quantity,revenue,discount_pct,avg_rating
4,2023-01-01,2023,1,1,6,Outlet_1,TIER 1,Produce,Typec,6,2006.88,13.35,1.91
15,2023-01-01,2023,1,1,6,Outlet_1,TIER 1,Produce,Typec,9,3010.32,26.91,1.78
39,2023-01-02,2023,1,2,0,Outlet_1,TIER 1,Snacks,Typec,4,106.08,3.71,2.91
41,2023-01-02,2023,1,2,0,Outlet_1,TIER 1,Produce,Typea,8,3153.04,25.0,2.53
55,2023-01-02,2023,1,2,0,Outlet_1,TIER 1,Beverages,Typeb,5,1087.0,27.28,2.81
59,2023-01-02,2023,1,2,0,Outlet_1,TIER 1,Dairy,Typeb,5,454.75,26.88,2.99
73,2023-01-03,2023,1,3,1,Outlet_1,TIER 1,Produce,Typea,3,824.67,16.15,1.16
77,2023-01-03,2023,1,3,1,Outlet_1,TIER 1,Dairy,Typec,6,878.4,10.73,1.25
81,2023-01-03,2023,1,3,1,Outlet_1,TIER 1,Snacks,Typeb,2,855.7,23.87,4.99
86,2023-01-03,2023,1,3,1,Outlet_1,TIER 1,Dairy,Typec,9,1317.6,24.85,3.21
91,2023-01-03,2023,1,3,1,Outlet_1,TIER 1,Produce,Typea,1,274.89,28.0,3.64
101,2023-01-04,2023,1,4,2,Outlet_1,TIER 1,Snacks,Typea,7,989.38,26.98,1.77
104,2023-01-04,2023,1,4,2,Outlet_1,TIER 1,Snacks,Typeb,6,2567.1,9.55,3.75
105,2023-01-04,2023,1,4,2,Outlet_1,TIER 1,Snacks,Typeb,1,396.85,7.86,2.02
123,2023-01-04,2023,1,4,2,Outlet_1,TIER 1,Beverages,Typec,7,2451.82,26.03,2.82
125,2023-01-04,2023,1,4,2,Outlet_1,TIER 1,Snacks,Typeb,9,2045.88,26.04,1.86
129,2023-01-04,2023,1,4,2,Outlet_1,TIER 1,Produce,Typea,4,353.28,11.58,2.78
133,2023-01-05,2023,1,5,3,Outlet_1,TIER 1,Produce,Typec,2,40.48,17.23,4.73
140,2023-01-05,2023,1,5,3,Outlet_1,TIER 1,Dairy,Typea,9,3663.72,3.9,1.14
141,2023-01-05,2023,1,5,3,Outlet_1,TIER 1,Beverages,Typec,8,2641.04,27.04,2.78
142,2023-01-05,2023,1,5,3,Outlet_1,TIER 1,Dairy,Typea,4,225.24,27.23,2.99
